Last login: Sat Mar 22 05:39:27 on console
Brandons-MacBook-Pro-3:~ brandon$ cd Documents/CS149_Assignment4/HW4_src/
Brandons-MacBook-Pro-3:HW4_src brandon$ ls
Page.class	Swap.class	hw4.zip		swapOutput.txt
Page.java	Swap.java	pageOutput.txt
Brandons-MacBook-Pro-3:HW4_src brandon$ javac Page.java
Brandons-MacBook-Pro-3:HW4_src brandon$ java Page
-1 indicates empty page frame

FIFO Simulation
------------------------------------------------------------------------------------------------------------------------
---------- Run 1 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
LFU Simulation
------------------------------------------------------------------------------------------------------------------------
---------- Run 1 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		6		-1		-1		-1		Fault		6		-1
1		6		-1		-1		-1		Hit		6		6
2		6		-1		-1		-1		Hit		6		6
3		6		-1		-1		-1		Hit		6		6
4		6		5		-1		-1		Fault		5		-1
5		6		5		-1		-1		Hit		5		5
6		6		5		4		-1		Fault		4		-1
7		6		5		4		1		Fault		1		-1
8		6		5		2		1		Fault		2		4
9		6		5		2		1		Hit		1		1
10		6		5		2		1		Hit		2		2
11		6		5		3		1		Fault		3		2
12		6		5		4		1		Fault		4		3
13		6		5		2		1		Fault		2		4
14		6		5		2		1		Hit		2		2
15		6		5		2		1		Hit		1		1
16		6		5		2		1		Hit		1		1
17		6		5		3		1		Fault		3		2
18		6		5		2		1		Fault		2		3
19		6		5		3		1		Fault		3		2
20		6		5		2		1		Fault		2		3
21		6		5		4		1		Fault		4		2
22		6		5		4		1		Hit		5		5
23		6		5		4		1		Hit		6		6
24		6		5		4		1		Hit		4		4
25		6		5		4		1		Hit		5		5
26		6		5		4		1		Hit		5		5
27		6		5		4		1		Hit		6		6
28		6		5		2		1		Fault		2		4
29		6		5		2		1		Hit		2		2
30		6		5		3		1		Fault		3		2
31		6		5		3		1		Hit		3		3
32		6		5		4		1		Fault		4		3
33		6		5		4		1		Hit		5		5
34		6		5		4		1		Hit		5		5
35		6		5		4		1		Hit		4		4
36		6		5		7		1		Fault		7		4
37		6		5		4		1		Fault		4		7
38		6		5		4		1		Hit		6		6
39		6		5		0		1		Fault		0		4
40		6		5		0		1		Hit		1		1
41		6		5		0		1		Hit		0		0
42		6		5		0		1		Hit		0		0
